,falsified,rating,verified_purchase,sentiment,num_words_in_text,num_stopwords,num_words_in_text_no_stop,num_unique_words,mean_word_len,max_word_len,num_chars,num_punctuations,num_scentences_in_text,flesch_ease,flesch_kincaid_grade,automated_readability_index,overall_readability_index,total_sentiment,average_review_sentiment
213,1,4,0,1,30,18,12,29,4.433333333333334,9,162,6,2,81.63,5.6,6.9,7.0,6.0,3.0
214,1,4,1,1,67,30,37,58,4.253731343283582,10,351,12,5,83.25,5.0,5.3,6.0,15.0,3.0
215,1,4,1,1,80,43,37,60,3.9875,12,398,8,7,93.85,3.0,3.2,6.0,21.0,3.0
216,1,4,0,1,40,24,16,33,4.125,9,204,6,3,91.82,3.8,4.7,5.0,11.0,3.6666666666666665
217,1,1,0,0,45,26,19,37,4.066666666666666,11,228,2,1,51.18,17.3,20.2,7.0,4.0,4.0
218,1,4,1,1,27,12,15,23,4.25925925925926,10,141,5,4,89.95,2.4,2.0,3.0,12.0,3.0
219,1,3,0,0,29,19,10,25,4.137931034482759,14,148,7,3,87.01,3.5,2.9,4.0,9.0,3.0
220,1,4,0,1,34,21,13,31,4.029411764705882,9,172,6,1,62.35,13.0,14.6,15.0,9.0,9.0
221,1,4,0,1,30,14,16,29,4.133333333333334,7,153,5,2,81.63,5.6,5.5,6.0,8.0,4.0
222,1,4,1,1,35,17,18,28,4.171428571428572,10,180,4,3,76.52,5.5,4.0,6.0,11.0,3.6666666666666665
224,1,1,1,0,41,24,17,36,3.7073170731707314,8,193,4,1,72.16,13.4,16.5,17.0,4.0,4.0
225,1,4,1,1,43,21,22,40,4.232558139534883,11,224,8,4,94.35,2.8,3.9,6.0,11.0,2.75
226,1,4,0,1,63,38,25,49,3.873015873015873,8,306,4,2,73.34,10.9,12.5,7.0,10.0,5.0
227,1,4,1,1,49,27,22,42,4.285714285714286,9,258,6,3,88.77,4.9,6.9,7.0,4.0,1.3333333333333333
228,1,4,0,1,85,39,46,68,4.0588235294117645,8,429,9,4,83.7,6.9,8.3,7.0,10.0,2.5
229,1,1,0,0,39,20,19,32,4.282051282051282,10,205,5,3,92.12,3.6,5.2,6.0,7.0,2.333333333333333
230,1,4,0,1,37,20,17,35,4.378378378378378,11,198,4,3,75.91,5.7,5.4,7.0,11.0,3.6666666666666665
231,1,4,1,1,74,45,29,61,4.027027027027027,12,371,5,2,59.3,14.2,16.1,0.0,4.0,2.0
232,1,4,0,1,87,35,52,61,4.7011494252873565,11,495,17,4,66.27,9.4,11.6,9.0,17.0,4.25
233,1,4,1,1,24,11,13,22,5.125,11,146,2,2,67.76,6.8,8.7,9.0,7.0,3.5
234,1,3,0,0,46,29,17,35,3.847826086956522,15,222,6,1,50.17,17.7,19.7,18.0,6.0,6.0
236,1,4,0,1,23,12,11,22,3.782608695652174,8,109,7,1,90.43,6.4,7.9,6.0,4.0,4.0
237,1,4,1,1,48,22,26,43,4.1875,9,249,10,6,88.74,2.9,2.3,3.0,19.0,3.1666666666666665
238,1,4,0,1,58,30,28,46,4.344827586206897,10,309,5,5,76.62,5.5,4.8,7.0,21.0,4.2
239,1,4,1,1,51,21,30,48,4.764705882352942,16,293,8,5,86.5,3.7,6.1,7.0,17.0,3.4
240,1,2,0,0,45,4,41,41,5.022222222222221,11,270,4,3,56.25,9.1,9.7,11.0,6.0,2.0
241,1,1,0,0,35,20,15,31,4.371428571428571,10,187,7,4,79.46,4.4,3.5,4.0,12.0,3.0
242,1,4,0,1,95,53,42,61,4.2105263157894735,12,494,15,7,91.51,3.9,5.2,6.0,24.0,3.4285714285714284
244,1,4,0,1,22,13,9,21,4.590909090909091,7,122,1,1,74.53,8.3,11.2,7.0,4.0,4.0
245,1,4,0,1,35,19,16,31,4.114285714285714,13,178,6,1,69.79,12.2,15.4,0.0,3.0,3.0
246,1,4,0,1,31,14,17,30,4.451612903225806,10,168,6,2,81.12,5.8,7.3,7.0,17.0,8.5
247,1,4,1,1,62,28,34,51,3.9032258064516134,10,308,9,1,33.93,23.9,27.9,6.0,20.0,20.0
248,1,4,1,1,26,15,11,25,3.4230769230769234,7,114,4,2,93.14,3.3,2.0,2.0,6.0,3.0
249,1,4,0,1,57,29,28,47,3.842105263157895,9,279,8,1,47.46,20.8,25.2,21.0,17.0,17.0
250,1,4,0,1,23,12,11,20,4.3478260869565215,11,122,6,2,93.64,3.1,4.8,5.0,15.0,7.5
251,1,4,0,1,44,26,18,36,3.636363636363636,8,203,5,4,102.61,1.7,1.2,2.0,12.0,3.0
252,1,3,0,0,28,16,12,23,4.857142857142857,13,163,7,4,72.83,4.8,5.0,7.0,15.0,3.75
253,1,3,0,0,27,13,14,26,4.0740740740740735,10,136,1,2,91.61,3.8,4.5,7.0,7.0,3.5
254,1,1,0,0,57,28,29,50,4.192982456140351,10,295,9,4,90.8,4.1,5.4,6.0,9.0,2.25
255,1,4,1,1,74,45,29,60,4.1891891891891895,12,383,7,3,71.78,9.4,10.6,7.0,9.0,3.0
256,1,4,1,1,21,11,10,19,4.666666666666667,10,118,3,2,77.74,5.0,5.8,6.0,8.0,4.0
258,1,4,0,1,32,14,18,29,4.9375,13,189,2,2,72.16,7.2,9.8,9.0,8.0,4.0
259,1,1,0,0,21,10,11,21,4.476190476190476,8,114,4,3,89.75,2.5,3.2,3.0,8.0,2.6666666666666665
260,1,4,0,1,53,29,24,42,4.226415094339623,10,276,6,5,86.1,3.9,3.8,6.0,12.0,2.4
261,1,3,0,0,69,31,38,55,4.507246376811594,12,379,6,4,79.3,6.5,8.4,7.0,11.0,2.75
262,1,4,0,1,74,40,34,63,4.027027027027027,12,371,9,6,92.83,3.4,3.7,6.0,15.0,2.5
263,1,4,0,1,32,16,16,29,4.34375,11,170,4,4,88.74,2.9,3.0,3.0,16.0,4.0
