falsified,verified_purchase,sentiment,mean_word_len,num_punctuations,flesch_kincaid_grade,overall_readability_index,total_sentiment,average_review_sentiment
0,1,1,4.253731343283582,10,8.3,7.0,8.0,2.6666666666666665
1,0,1,3.71875,3,2.7,3.0,11.0,3.6666666666666665
0,1,1,3.727272727272727,2,7.2,7.0,5.0,5.0
0,0,1,3.72289156626506,17,1.4,2.0,24.0,3.0
0,1,1,4.225,6,7.2,8.0,8.0,2.6666666666666665
0,1,1,4.09375,4,2.7,5.0,14.0,4.666666666666667
0,1,1,4.052631578947368,8,3.4,4.0,17.0,4.25
0,1,1,4.254237288135593,7,4.3,7.0,12.0,3.0
1,0,1,4.925,6,7.3,8.0,11.0,3.6666666666666665
1,0,1,3.880597014925373,5,5.1,6.0,13.0,3.25
1,0,1,5.086956521739131,3,5.4,6.0,7.0,3.5
1,1,1,4.4444444444444455,6,8.0,8.0,18.0,6.0
1,1,1,4.96875,7,16.2,16.0,16.0,16.0
0,1,1,4.666666666666667,12,16.1,0.0,8.0,4.0
1,0,1,4.739130434782608,4,4.4,4.0,13.0,3.25
0,1,1,4.1,3,9.1,7.0,6.0,6.0
1,1,1,4.101449275362318,11,3.1,4.0,26.0,3.25
1,0,1,4.672727272727274,8,6.4,8.0,18.0,3.6
1,0,1,4.125,3,11.1,7.0,9.0,9.0
0,0,1,3.928571428571429,10,5.9,6.0,7.0,2.333333333333333
1,1,1,4.573770491803279,6,3.7,6.0,21.0,3.5
0,1,1,4.678571428571429,8,11.8,12.0,28.0,14.0
0,1,1,4.881578947368421,8,32.9,12.0,20.0,20.0
0,1,1,3.7428571428571433,7,13.0,13.0,12.0,12.0
1,0,1,3.7560975609756095,4,3.8,4.0,10.0,3.333333333333333
0,1,1,4.227272727272728,3,6.4,6.0,9.0,4.5
0,1,1,4.163636363636364,9,4.9,6.0,14.0,3.5
1,0,1,4.142857142857143,5,5.2,7.0,8.0,4.0
1,1,1,4.611111111111111,4,3.3,3.0,13.0,4.333333333333333
1,0,1,4.76,8,7.0,8.0,13.0,3.25
1,0,1,4.368421052631579,5,3.5,4.0,8.0,4.0
0,1,1,4.271186440677966,21,2.3,3.0,25.0,2.7777777777777777
1,0,1,4.142857142857143,1,7.9,8.0,5.0,5.0
0,1,1,3.875,7,2.8,3.0,22.0,7.333333333333332
1,0,1,3.9,3,18.1,0.0,4.0,4.0
1,1,1,3.82,3,7.1,10.0,6.0,3.0
0,1,1,4.05,10,6.4,6.0,17.0,17.0
1,0,1,4.575757575757576,10,4.2,5.0,17.0,4.25
1,0,1,4.307692307692308,12,3.8,6.0,21.0,4.2
0,1,1,3.877551020408163,7,18.9,6.0,12.0,12.0
0,1,1,4.2727272727272725,4,2.9,5.0,6.0,3.0
0,1,1,4.44,12,6.3,7.0,10.0,3.333333333333333
1,0,1,4.0,7,1.8,2.0,15.0,3.0
0,1,1,4.090909090909091,8,4.3,5.0,14.0,4.666666666666667
0,1,1,4.0,2,8.3,8.0,3.0,3.0
0,1,1,4.483870967741935,17,5.8,6.0,16.0,3.2
0,1,1,3.625,5,2.6,3.0,12.0,4.0
0,1,1,4.428571428571429,9,5.9,7.0,12.0,3.0
0,1,1,4.306451612903226,6,26.3,27.0,17.0,17.0
0,1,1,4.753846153846154,6,26.3,0.0,4.0,4.0
1,0,1,4.4444444444444455,5,2.1,6.0,11.0,3.6666666666666665
0,1,1,5.789473684210527,9,9.5,14.0,4.0,4.0
1,0,1,4.085714285714285,7,7.8,7.0,15.0,7.5
0,1,1,5.513513513513512,15,9.3,11.0,17.0,8.5
1,0,1,4.5,8,6.9,8.0,12.0,4.0
1,1,1,4.423728813559323,8,4.4,6.0,19.0,3.8
0,1,1,4.875,6,18.9,19.0,12.0,12.0
1,1,1,3.9069767441860463,9,4.1,7.0,13.0,4.333333333333333
1,0,1,4.171428571428572,5,13.4,7.0,6.0,6.0
1,1,1,4.015625,7,2.7,5.0,22.0,3.6666666666666665
1,1,1,3.8809523809523814,10,2.9,3.0,8.0,2.6666666666666665
0,1,1,4.328571428571428,7,27.1,13.0,10.0,10.0
0,1,1,3.3125,4,8.3,7.0,7.0,3.5
1,0,1,5.277777777777779,7,18.5,13.0,10.0,10.0
1,0,1,4.338709677419355,7,3.4,6.0,16.0,3.2
0,1,1,4.770833333333333,16,40.3,13.0,21.0,21.0
1,0,1,3.5121951219512195,4,6.6,6.0,7.0,3.5
0,1,1,4.230769230769232,4,8.7,7.0,8.0,8.0
1,0,1,4.542857142857144,4,4.3,6.0,11.0,3.6666666666666665
1,0,1,3.904109589041096,7,4.3,5.0,14.0,2.8
0,1,1,4.5,4,3.3,4.0,14.0,3.5
0,1,1,3.52,2,8.3,8.0,2.0,2.0
1,0,1,3.9354838709677415,7,22.8,8.0,13.0,13.0
1,0,1,4.418181818181818,6,11.7,8.0,6.0,3.0
0,1,1,4.071428571428571,2,9.5,7.0,3.0,3.0
1,0,1,4.108695652173913,8,4.2,6.0,13.0,3.25
0,1,1,4.0,4,6.6,7.0,10.0,5.0
1,1,1,4.516129032258065,8,4.6,6.0,19.0,3.8
1,0,1,3.8928571428571432,3,4.8,6.0,11.0,5.5
1,0,1,4.086206896551723,2,22.0,22.0,12.0,12.0
0,1,1,4.368421052631579,2,8.3,8.0,4.0,4.0
0,1,1,4.5555555555555545,3,5.0,7.0,5.0,2.5
1,0,1,4.545454545454546,5,7.3,8.0,18.0,3.6
0,1,1,3.827586206896552,4,1.2,6.0,9.0,3.0
1,1,1,4.607142857142857,5,3.4,5.0,10.0,3.333333333333333
1,1,1,4.44,5,7.4,8.0,10.0,3.333333333333333
1,0,1,4.4459459459459465,16,4.5,6.0,22.0,3.6666666666666665
1,0,1,4.829268292682927,5,4.9,9.0,15.0,3.75
1,0,1,3.761904761904762,2,7.9,7.0,4.0,2.0
0,1,1,4.666666666666667,7,15.0,15.0,14.0,14.0
0,1,1,5.0,3,9.9,10.0,4.0,4.0
1,1,1,4.2653061224489806,4,4.5,5.0,12.0,3.0
1,0,1,3.91044776119403,15,2.6,4.0,18.0,3.6
0,1,1,5.62962962962963,6,16.2,17.0,12.0,12.0
1,0,1,4.255813953488372,4,4.1,6.0,16.0,5.333333333333333
1,0,1,4.266666666666667,5,3.7,4.0,9.0,3.0
1,0,1,4.739583333333333,11,10.3,10.0,11.0,2.75
0,1,1,3.839080459770115,8,3.4,6.0,20.0,2.8571428571428568
1,0,1,4.354166666666667,5,5.9,6.0,19.0,3.8
0,1,1,4.017241379310345,11,9.9,12.0,10.0,5.0
0,0,1,4.1230769230769235,15,6.1,6.0,12.0,3.0
0,0,1,3.689655172413793,1,8.7,9.0,4.0,4.0
1,1,1,5.0,5,3.5,9.0,14.0,4.666666666666667
0,1,1,3.8125,4,12.2,13.0,7.0,7.0
1,0,1,3.72093023255814,5,16.5,17.0,7.0,7.0
1,1,1,4.224489795918367,6,8.1,6.0,6.0,3.0
1,1,1,4.730769230769232,5,22.4,10.0,4.0,4.0
1,0,1,4.243902439024391,6,5.1,6.0,7.0,2.333333333333333
0,1,1,3.7741935483870965,5,4.4,4.0,5.0,2.5
0,0,1,4.336956521739131,16,4.9,6.0,24.0,3.4285714285714284
0,1,1,4.1891891891891895,5,7.0,7.0,7.0,3.5
1,0,1,4.111111111111111,4,17.3,7.0,8.0,8.0
1,0,1,4.041666666666667,4,7.5,10.0,4.0,4.0
1,0,1,4.3,4,3.5,4.0,11.0,3.6666666666666665
1,0,1,4.783333333333333,8,6.8,9.0,13.0,2.6
0,1,1,4.025974025974026,11,31.0,31.0,24.0,24.0
1,0,1,4.6,4,9.1,8.0,12.0,4.0
0,1,1,3.982456140350877,7,23.2,6.0,16.0,16.0
0,0,1,4.621212121212121,21,27.5,28.0,16.0,16.0
1,1,1,3.776470588235294,6,4.1,4.0,18.0,3.0
1,0,1,5.085106382978722,8,20.4,12.0,4.0,4.0
0,1,1,3.8928571428571432,3,10.7,11.0,6.0,6.0
0,1,1,4.233333333333333,3,5.6,6.0,6.0,3.0
0,1,1,3.9090909090909087,5,4.0,4.0,12.0,3.0
1,0,1,3.9166666666666665,2,4.4,6.0,8.0,4.0
1,0,1,4.7659574468085095,5,5.8,6.0,19.0,3.8
0,1,1,4.523255813953488,17,5.7,7.0,23.0,3.2857142857142856
0,1,1,4.909090909090909,5,8.5,10.0,10.0,5.0
0,1,1,4.148148148148148,3,5.6,6.0,9.0,3.0
1,1,1,4.235294117647058,5,10.9,11.0,8.0,4.0
1,0,1,4.823529411764706,10,5.3,7.0,14.0,4.666666666666667
1,1,1,3.7352941176470584,3,3.0,3.0,10.0,3.333333333333333
1,0,1,3.641025641025641,6,6.0,6.0,16.0,8.0
1,0,1,4.344827586206897,5,5.5,7.0,21.0,4.2
1,0,1,4.068965517241379,4,11.1,7.0,11.0,11.0
0,1,1,4.362068965517241,11,7.3,7.0,21.0,7.0
1,0,1,4.2926829268292686,3,8.9,9.0,7.0,3.5
0,1,1,4.85,4,8.7,10.0,11.0,11.0
1,1,1,3.8857142857142857,12,2.5,5.0,28.0,4.0
1,0,1,5.375,7,8.0,11.0,23.0,5.75
0,1,1,4.428571428571429,6,2.7,5.0,7.0,3.5
1,0,1,4.571428571428571,6,11.2,12.0,14.0,4.666666666666667
0,1,1,4.454545454545454,4,6.4,6.0,8.0,4.0
1,1,1,4.777777777777779,6,5.0,7.0,8.0,4.0
0,1,1,4.090909090909091,3,0.2,3.0,10.0,3.333333333333333
1,0,1,3.9090909090909087,4,2.9,3.0,7.0,2.333333333333333
0,1,1,5.363636363636363,3,7.6,8.0,8.0,4.0
1,1,1,4.378378378378378,4,3.4,4.0,14.0,3.5
1,1,1,4.5555555555555545,5,3.8,7.0,11.0,5.5
0,1,1,3.851851851851852,7,2.7,3.0,8.0,4.0
0,1,1,4.95,4,8.7,12.0,4.0,4.0
0,1,1,4.7727272727272725,4,0.7,6.0,17.0,4.25
0,0,1,3.8947368421052633,14,2.8,5.0,22.0,3.1428571428571432
0,1,1,5.0,10,11.4,12.0,10.0,3.333333333333333
1,0,1,4.2,4,5.6,6.0,8.0,2.6666666666666665
1,0,1,4.133333333333334,5,18.5,19.0,14.0,14.0
1,0,1,4.3023255813953485,7,1.9,5.0,17.0,3.4
0,1,1,4.152173913043479,4,5.7,6.0,9.0,3.0
1,1,1,4.260869565217392,4,6.4,7.0,11.0,11.0
1,1,1,4.548387096774194,3,4.9,5.0,11.0,3.6666666666666665
1,1,1,4.222222222222221,6,4.2,6.0,12.0,3.0
1,1,1,3.940476190476191,9,4.0,6.0,20.0,3.333333333333333
0,1,1,4.275,5,17.7,18.0,10.0,10.0
0,1,1,4.3125,8,8.1,8.0,7.0,2.333333333333333
0,1,1,4.84,6,13.0,11.0,11.0,3.6666666666666665
1,1,1,4.108108108108108,6,5.5,6.0,9.0,3.0
1,0,1,3.6304347826086962,5,15.3,19.0,5.0,5.0
0,1,1,4.166666666666667,6,5.0,5.0,12.0,3.0
1,0,1,4.1891891891891895,4,3.4,6.0,10.0,3.333333333333333
1,0,1,4.097560975609756,3,6.6,7.0,6.0,3.0
1,0,1,5.72093023255814,11,12.9,15.0,8.0,4.0
0,1,1,3.636363636363636,2,2.9,5.0,7.0,3.5
0,1,1,5.1,5,7.2,8.0,14.0,7.0
1,0,1,3.931034482758621,5,4.2,4.0,6.0,3.0
0,1,1,4.32258064516129,5,13.0,8.0,13.0,13.0
1,0,1,4.44,3,8.3,12.0,7.0,7.0
0,1,1,3.821428571428572,4,9.5,11.0,2.0,2.0
1,1,1,4.333333333333333,4,4.4,5.0,9.0,3.0
1,0,1,4.35,3,6.1,7.0,9.0,3.0
0,1,1,4.833333333333333,5,3.3,6.0,11.0,3.6666666666666665
1,0,1,4.188405797101448,6,4.2,6.0,18.0,3.0
1,0,1,4.85,4,11.1,10.0,4.0,4.0
1,0,1,4.4,11,6.8,7.0,26.0,4.333333333333333
1,1,1,3.9883720930232562,10,6.2,6.0,21.0,4.2
1,1,1,4.770833333333333,10,6.8,7.0,13.0,3.25
0,1,1,5.627450980392156,17,7.3,8.0,31.0,6.2
1,0,1,4.25,6,4.4,6.0,10.0,3.333333333333333
1,0,1,3.8873239436619715,8,5.5,6.0,13.0,3.25
1,0,1,4.5,5,2.9,6.0,10.0,3.333333333333333
1,0,1,3.7446808510638303,3,3.5,4.0,9.0,3.0
1,0,1,5.458333333333332,7,4.5,8.0,19.0,4.75
1,0,1,4.659574468085107,12,4.6,5.0,20.0,4.0
1,0,1,3.875,6,6.4,7.0,4.0,2.0
1,0,1,4.56,7,2.9,3.0,18.0,3.6
0,1,1,4.420289855072464,6,26.7,10.0,4.0,4.0
0,1,1,4.644444444444446,15,19.7,9.0,16.0,16.0
0,1,1,4.5625,4,3.9,6.0,10.0,3.333333333333333
1,1,1,3.9213483146067416,7,3.5,6.0,25.0,3.571428571428572
0,1,1,4.325,9,3.7,4.0,10.0,2.5
1,1,1,4.333333333333333,7,6.4,6.0,6.0,3.0
0,1,1,3.7307692307692313,1,7.5,8.0,4.0,4.0
0,1,1,4.1923076923076925,7,9.9,7.0,7.0,7.0
1,0,1,4.391304347826087,5,1.6,5.0,14.0,4.666666666666667
0,1,1,4.25,4,8.7,9.0,13.0,13.0
1,0,1,4.853658536585366,7,3.6,8.0,26.0,4.333333333333333
0,1,1,4.303571428571429,8,7.0,7.0,7.0,2.333333333333333
0,1,1,4.833333333333333,3,4.1,8.0,9.0,3.0
1,0,1,4.216216216216216,8,3.8,4.0,18.0,3.6
1,0,1,4.105263157894736,4,3.5,6.0,12.0,4.0
0,1,1,4.8,4,15.8,11.0,15.0,15.0
1,0,1,4.775862068965517,6,9.6,10.0,15.0,5.0
0,1,1,4.714285714285714,3,3.8,6.0,12.0,6.0
1,0,1,4.684210526315789,4,8.3,10.0,8.0,4.0
1,0,1,4.25,4,10.7,7.0,14.0,14.0
1,0,1,4.142857142857143,5,6.4,6.0,19.0,6.333333333333332
1,0,1,4.39622641509434,8,4.4,4.0,22.0,3.6666666666666665
1,0,1,3.9,6,4.4,4.0,6.0,3.0
0,1,1,3.84375,3,1.6,2.0,10.0,3.333333333333333
1,0,1,4.375,5,13.4,8.0,13.0,13.0
1,0,1,4.515789473684211,18,7.1,8.0,22.0,3.6666666666666665
1,0,1,4.181818181818182,7,5.7,6.0,9.0,3.0
1,0,1,4.147058823529412,4,3.0,5.0,7.0,2.333333333333333
1,1,1,3.8125,5,4.7,6.0,19.0,3.8
0,1,1,4.115384615384615,2,9.9,7.0,8.0,8.0
1,0,1,4.5,4,5.2,5.0,10.0,3.333333333333333
1,0,1,5.233333333333333,6,10.3,11.0,7.0,3.5
1,0,1,4.188679245283018,3,5.5,6.0,10.0,3.333333333333333
1,0,1,3.9661016949152543,4,4.3,7.0,15.0,3.75
1,0,1,4.3125,3,3.9,4.0,13.0,4.333333333333333
1,0,1,4.725806451612904,7,7.0,9.0,14.0,3.5
1,0,1,4.5,3,8.7,9.0,10.0,5.0
0,1,1,4.21875,18,37.2,8.0,19.0,19.0
0,1,1,3.842105263157895,8,29.4,6.0,17.0,17.0
0,1,1,4.106060606060606,7,4.9,6.0,12.0,3.0
0,1,1,4.809523809523808,3,9.1,9.0,9.0,9.0
0,1,1,3.771929824561404,5,6.0,6.0,13.0,4.333333333333333
1,0,1,4.611111111111111,6,3.3,5.0,11.0,2.75
0,1,1,5.0588235294117645,1,7.6,11.0,4.0,4.0
1,1,1,4.631578947368421,5,7.2,10.0,9.0,4.5
0,1,1,4.452830188679245,8,5.1,5.0,20.0,4.0
0,1,1,4.086956521739131,2,8.7,9.0,8.0,8.0
1,1,1,4.365853658536587,6,8.9,9.0,15.0,7.5
1,0,1,5.2105263157894735,1,9.5,13.0,8.0,8.0
0,0,1,3.8260869565217392,4,4.5,8.0,10.0,3.333333333333333
1,1,1,4.431034482758621,11,22.0,9.0,5.0,5.0
1,1,1,4.655172413793104,4,3.8,4.0,12.0,3.0
1,0,1,4.333333333333333,3,6.0,7.0,12.0,4.0
1,0,1,3.9722222222222223,4,13.8,6.0,10.0,10.0
0,0,1,4.518518518518519,2,3.8,7.0,7.0,3.5
0,1,1,5.088235294117646,6,4.2,7.0,11.0,2.75
1,1,1,4.090909090909091,6,15.0,15.0,5.0,5.0
0,1,1,4.571428571428571,4,9.1,8.0,4.0,4.0
0,1,1,4.040816326530612,4,16.5,7.0,2.0,2.0
1,0,1,4.571428571428571,5,4.2,4.0,19.0,3.8
0,0,1,4.148648648648647,12,3.3,5.0,20.0,3.333333333333333
0,1,1,4.5151515151515165,11,3.8,7.0,13.0,4.333333333333333
0,1,1,4.0,8,5.9,7.0,8.0,2.6666666666666665
1,0,1,3.87,9,8.3,9.0,11.0,2.75
0,1,1,4.033333333333333,4,4.4,5.0,8.0,4.0
1,0,1,4.136363636363637,11,4.9,5.0,20.0,4.0
1,0,1,4.409090909090909,3,10.7,11.0,6.0,3.0
1,0,1,4.415094339622642,6,4.9,7.0,12.0,3.0
1,0,1,4.84375,5,2.9,3.0,11.0,2.75
0,1,1,4.466666666666667,6,5.6,8.0,12.0,3.0
1,0,1,3.80327868852459,2,10.5,7.0,6.0,3.0
0,1,1,4.727272727272728,2,8.3,12.0,5.0,5.0
1,0,1,4.742857142857143,8,6.7,8.0,19.0,3.1666666666666665
1,1,1,4.722222222222221,2,4.4,5.0,8.0,4.0
0,1,1,5.0,10,12.2,8.0,3.0,3.0
1,0,1,4.32,4,3.4,6.0,7.0,3.5
0,1,1,4.785714285714286,6,18.5,19.0,15.0,15.0
1,0,1,4.1914893617021285,9,16.9,17.0,4.0,4.0
0,1,1,4.395604395604397,12,5.7,7.0,21.0,3.5
0,1,1,4.681818181818182,1,9.5,10.0,8.0,8.0
1,1,1,4.171428571428572,4,5.5,6.0,11.0,3.6666666666666665
1,0,1,3.4444444444444446,3,7.3,6.0,5.0,2.5
1,0,1,4.818181818181818,6,5.2,7.0,10.0,5.0
1,1,1,4.604395604395603,13,8.0,8.0,17.0,2.833333333333333
0,1,1,4.75,4,10.7,10.0,16.0,8.0
1,0,1,4.242857142857143,8,10.0,7.0,25.0,8.333333333333334
0,1,1,4.111111111111111,11,3.2,7.0,10.0,3.333333333333333
1,1,1,4.242424242424242,7,12.2,13.0,6.0,6.0
1,0,1,4.304347826086956,3,3.1,5.0,9.0,4.5
0,0,1,4.363636363636363,10,1.3,4.0,15.0,5.0
1,0,1,4.421052631578949,5,7.2,7.0,4.0,4.0
1,0,1,5.137254901960786,22,23.2,11.0,22.0,22.0
1,0,1,4.27906976744186,7,4.0,6.0,12.0,3.0
0,1,1,4.5,15,8.0,8.0,15.0,3.0
1,0,1,3.954545454545455,2,8.3,7.0,2.0,2.0
0,1,1,4.344827586206897,14,4.3,5.0,23.0,4.6
1,1,1,4.2,2,3.7,4.0,6.0,3.0
0,1,1,4.921875,7,28.3,0.0,9.0,9.0
0,1,1,4.4,3,2.5,5.0,8.0,4.0
0,0,1,5.3125,4,17.0,12.0,8.0,8.0
0,1,1,5.304347826086956,3,7.5,8.0,9.0,3.0
0,1,1,4.227272727272728,3,4.0,6.0,6.0,3.0
1,0,1,4.553571428571429,9,5.2,7.0,14.0,3.5
1,0,1,4.672413793103448,7,9.6,13.0,12.0,4.0
0,0,1,4.130434782608695,5,17.7,21.0,24.0,24.0
1,0,1,4.354838709677419,3,4.9,5.0,9.0,3.0
0,1,1,3.888888888888889,4,3.3,3.0,13.0,4.333333333333333
0,1,1,4.157894736842104,7,5.3,6.0,11.0,2.75
1,1,1,4.615384615384615,7,3.1,6.0,10.0,3.333333333333333
1,0,1,4.069444444444445,6,4.4,6.0,17.0,2.833333333333333
1,0,1,4.088235294117647,4,1.9,5.0,14.0,3.5
0,1,1,4.111111111111111,8,23.1,0.0,18.0,18.0
1,0,1,3.9655172413793114,5,5.4,5.0,13.0,3.25
0,1,1,3.727272727272727,2,2.9,3.0,8.0,4.0
0,1,1,4.342857142857143,5,13.4,8.0,3.0,3.0
0,1,1,4.260869565217392,5,6.4,6.0,4.0,4.0
0,1,1,4.125,8,5.2,6.0,19.0,3.8
0,1,1,4.136363636363637,9,11.4,7.0,5.0,2.5
1,1,1,3.533333333333333,4,2.5,5.0,11.0,3.6666666666666665
1,0,1,4.674418604651163,6,5.3,8.0,10.0,3.333333333333333
1,0,1,4.111111111111111,4,4.4,4.0,14.0,4.666666666666667
1,1,1,4.367816091954023,8,34.9,35.0,9.0,9.0
1,0,1,3.7692307692307687,2,3.6,4.0,7.0,3.5
1,1,1,4.285714285714286,5,7.9,8.0,8.0,2.6666666666666665
1,0,1,4.486486486486488,7,13.0,13.0,2.0,2.0
1,1,1,4.366666666666666,7,5.6,7.0,20.0,5.0
0,1,1,4.142857142857143,3,2.7,5.0,7.0,3.5
1,1,1,3.95774647887324,7,3.2,5.0,18.0,3.0
0,1,1,5.282608695652174,17,18.9,19.0,24.0,24.0
0,1,1,5.0,3,9.1,8.0,8.0,8.0
0,1,1,4.020408163265306,4,8.1,6.0,14.0,7.0
1,0,1,4.052631578947368,9,12.0,12.0,16.0,8.0
1,0,1,4.285714285714286,6,11.5,12.0,10.0,5.0
1,0,1,3.8461538461538463,6,7.0,7.0,14.0,4.666666666666667
0,1,1,4.571428571428571,5,6.2,6.0,8.0,4.0
0,1,1,4.0,5,10.1,11.0,16.0,8.0
1,0,1,4.421052631578949,3,4.6,9.0,9.0,3.0
0,1,1,4.5,7,35.7,36.0,16.0,16.0
1,1,1,5.357142857142857,6,4.8,9.0,17.0,4.25
1,1,1,4.675324675324675,13,9.6,12.0,13.0,3.25
0,1,1,3.819672131147541,9,6.5,7.0,11.0,3.6666666666666665
1,1,1,4.3580246913580245,13,5.0,6.0,25.0,4.166666666666667
1,0,1,4.0163934426229515,6,24.7,28.0,14.0,14.0
1,0,1,3.9846153846153847,8,6.1,6.0,13.0,3.25
1,1,1,4.392857142857143,7,6.4,7.0,15.0,3.75
0,1,1,4.309523809523808,7,5.0,5.0,14.0,3.5
1,0,1,3.7755102040816326,5,3.7,4.0,10.0,3.333333333333333
0,0,1,3.6046511627906983,4,14.2,17.0,2.0,2.0
1,1,1,4.7,11,16.5,17.0,21.0,21.0
0,0,1,3.962962962962963,11,4.0,7.0,17.0,3.4
1,0,1,4.666666666666667,8,5.8,7.0,17.0,4.25
1,0,1,4.325581395348837,6,3.0,6.0,18.0,3.6
0,1,1,4.211267605633803,14,3.2,6.0,21.0,3.5
1,1,1,4.1875,10,2.9,3.0,19.0,3.1666666666666665
1,1,1,4.388888888888889,5,7.8,9.0,5.0,2.5
1,0,1,4.642857142857143,3,10.7,9.0,4.0,4.0
1,0,1,4.275862068965517,11,9.3,10.0,15.0,3.75
1,0,1,4.375,5,6.1,6.0,16.0,5.333333333333333
1,0,1,3.9354838709677415,6,7.8,8.0,9.0,3.0
1,0,1,4.628571428571429,3,14.6,10.0,2.0,2.0
0,1,1,4.633333333333334,5,12.6,15.0,10.0,10.0
0,1,1,4.894736842105263,3,7.1,8.0,10.0,3.333333333333333
0,0,1,4.711111111111111,9,5.6,6.0,20.0,4.0
0,1,1,4.489795918367347,5,18.9,19.0,4.0,4.0
1,1,1,4.375,8,4.4,6.0,14.0,3.5
1,1,1,4.5,2,3.7,4.0,8.0,4.0
1,0,1,4.177777777777779,5,5.6,6.0,10.0,3.333333333333333
1,1,1,5.235294117647058,0,9.9,10.0,4.0,4.0
1,0,1,4.428571428571429,4,7.3,8.0,10.0,3.333333333333333
0,0,1,3.9565217391304346,4,5.3,6.0,15.0,3.75
0,1,1,4.169811320754717,8,3.8,6.0,14.0,3.5
1,0,1,4.083333333333333,4,5.6,7.0,13.0,4.333333333333333
1,0,1,4.478260869565218,3,3.9,4.0,10.0,3.333333333333333
0,1,1,4.130434782608695,12,2.4,5.0,24.0,3.4285714285714284
0,1,1,4.2105263157894735,4,5.9,6.0,12.0,4.0
1,0,1,4.322033898305085,9,5.5,7.0,20.0,4.0
1,0,1,4.1,6,9.5,6.0,13.0,6.5
1,1,1,4.071428571428571,4,3.4,4.0,10.0,3.333333333333333
1,0,1,4.653061224489796,7,9.3,13.0,7.0,3.5
0,1,1,3.747126436781609,7,6.5,7.0,13.0,2.6
0,1,1,4.6,5,16.5,17.0,5.0,5.0
0,1,1,4.402985074626866,9,14.0,9.0,15.0,7.5
0,1,1,4.761904761904762,4,5.0,7.0,15.0,7.5
1,0,1,4.283018867924528,9,5.5,6.0,7.0,2.333333333333333
0,0,1,4.379310344827586,6,4.6,5.0,8.0,2.6666666666666665
0,1,1,3.982456140350877,8,1.8,2.0,14.0,2.8
1,1,1,3.3142857142857145,0,25.9,26.0,4.0,4.0
0,1,1,4.342857142857143,5,13.4,8.0,16.0,16.0
1,0,1,4.040816326530612,5,6.1,6.0,16.0,5.333333333333333
1,0,1,3.9354838709677415,3,4.6,5.0,7.0,3.5
1,0,1,3.4367816091954024,6,4.2,2.0,19.0,3.1666666666666665
1,0,1,4.780487804878049,5,11.3,10.0,13.0,6.5
1,0,1,4.115384615384615,5,9.9,6.0,5.0,5.0
1,1,1,4.084507042253522,8,9.0,7.0,18.0,6.0
1,1,1,4.463157894736842,9,5.1,7.0,25.0,3.571428571428572
0,1,1,3.96,7,3.4,6.0,10.0,2.5
0,1,1,4.079365079365079,8,24.3,0.0,14.0,14.0
0,1,1,4.2,3,2.5,5.0,11.0,3.6666666666666665
1,1,1,4.333333333333333,2,6.8,7.0,13.0,6.5
0,1,1,3.96,4,1.8,2.0,8.0,2.6666666666666665
0,0,1,4.4823529411764715,14,8.1,8.0,13.0,3.25
0,1,1,3.9574468085106393,7,4.7,5.0,7.0,2.333333333333333
